reference,api_group,capability,reference_support,openglesscope_0_7_0,openglesscope_path,ui_txt_html_database,status
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TEXTURE_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TRANSFORM_FEEDBACK_INTERLEAVED_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TRANSFORM_FEEDBACK_SEPARATE_ATTRIBS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TRANSFORM_FEEDBACK_SEPARATE_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_UNIFORM_BLOCK_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_UNIFORM_BUFFER_BINDINGS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VARYING_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VARYING_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_ATTRIBS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VERTEX_UNIFORM_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_VIEWPORT_DIMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_ATOMIC_COUNTER_BUFFER_BINDINGS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_ATOMIC_COUNTER_BUFFER_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COLOR_TEXTURE_SAMPLES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_COMPUTE_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_SHADER_OUTPUT_RESOURCES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMBINED_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_SHARED_MEMORY_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_COUNT[0],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_COUNT[1],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_COUNT[2],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_INVOCATIONS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_SIZE[0],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_SIZE[1],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_COMPUTE_WORK_GROUP_SIZE[2],reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_DEPTH_TEXTURE_SAMPLES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAGMENT_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAGMENT_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAGMENT_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAGMENT_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAMEBUFFER_HEIGHT,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAMEBUFFER_SAMPLES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_FRAMEBUFFER_WIDTH,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_INTEGER_SAMPLES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MIN_PROGRAM_TEXTURE_GATHER_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_PROGRAM_TEXTURE_GATHER_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_SAMPLE_MASK_WORDS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_SHADER_STORAGE_BLOCK_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_SHADER_STORAGE_BUFFER_BINDINGS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_UNIFORM_LOCATIONS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_ATTRIB_BINDINGS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_ATTRIB_RELATIVE_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_ATTRIB_STRIDE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.1,GL_MAX_VERTEX_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MIN_SAMPLE_SHADING_VALUE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_COMBINED_GEOMETRY_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_COMBINED_TESS_CONTROL_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_COMBINED_TESS_EVALUATION_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_DEBUG_GROUP_STACK_DEPTH,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_DEBUG_LOGGED_MESSAGES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_DEBUG_MESSAGE_LENGTH,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MIN_FRAGMENT_INTERPOLATION_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_FRAGMENT_INTERPOLATION_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_FRAMEBUFFER_LAYERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_INPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_OUTPUT_VERTICES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_SHADER_INVOCATIONS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_TOTAL_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_GEOMETRY_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_LABEL_LENGTH,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_PATCH_VERTICES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_INPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_TOTAL_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_CONTROL_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_ATOMIC_COUNTERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_ATOMIC_COUNTER_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_IMAGE_UNIFORMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_INPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_OUTPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_SHADER_STORAGE_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_EVALUATION_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_GEN_LEVEL,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TESS_PATCH_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.2,GL_MAX_TEXTURE_BUFFER_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
OpenGLESScope additional query,Core/extension additional,GL_ALIASED_LINE_WIDTH_RANGE,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_ALIASED_POINT_SIZE_RANGE,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_CONTEXT_FLAGS,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_FRAGMENT_INTERPOLATION_OFFSET_BITS,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_IMPLEMENTATION_COLOR_READ_FORMAT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_IMPLEMENTATION_COLOR_READ_TYPE,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
